Frankenstein	1931	78	100
The Invisible Man	1933	77	97
The Devil-Doll	1936	71	82
The Day the Earth Stood Still	1951	77	95
Forbidden Planet	1956	76	98
Invasion of the Body Snatchers	1956	77	98
The Incredible Shrinking Man	1957	76	92
Village of the Damned	1960	73	92
Fahrenheit 451	1966	72	81
Planet of the Apes	1968	80	88
Solaris	1972	81	95
Fantastic Planet	1973	78	90
Stalker	1979	82	100
The Thing	1982	81	84
Brazil	1985	79	98
Predator	1987	78	81
Total Recall	1990	75	82
Ghost in the Shell	1995	80	96
12 Monkeys	1995	80	90
Open Your Eyes	1997	78	85
Gattaca	1997	78	81
Being John Malkovich	1999	77	93
Donnie Darko	2001	80	87
Eternal Sunshine of the Spotless Mind	2004	83	93
Paprika	2006	77	84
The Host	2006	71	93
District 9	2009	79	90
Attack the Block	2011	66	90
Europa Report	2013	64	81
Coherence	2013	72	88
Snowpiercer	2013	71	94
Hard to Be a God	2013	67	95
Upstream Color	2013	67	86
Under the Skin	2013	63	85
Edge of Tomorrow	2014	79	90
Dawn of the Planet of the Apes	2014	76	91
The Lobster	2015	72	88
World of Tomorrow	2015	81	100
Kubo and the Two Strings	2016	78	97
10 Cloverfield Lane	2016	72	90
Midnight Special	2016	66	83
Arrival	2016	79	94
Annihilation	2018	69	88
